contact_id,patient_id,full_name,relationship,phone
1,1,Μαρία Γεωργίου,Γονέας,6970000001
2,2,Νίκος Νικολάου,Τέκνο,6970000002
3,3,Ελένη Ιωάννου,Αδελφός/ή,6970000003
4,4,Κώστας Δημητρίου,Σύζυγος,6970000004
5,5,Άννα Κωνσταντίνου,Γονέας,6970000005
6,6,Πέτρος Αθανασίου,Τέκνο,6970000006
7,7,Σοφία Παναγιώτου,Αδελφός/ή,6970000007
8,8,Δημήτρης Αλεξίου,Σύζυγος,6970000008
9,9,Ιωάννα Μαρίνου,Γονέας,6970000009
10,10,Αλέξανδρος Παπαδόπουλος,Τέκνο,6970000010
11,11,Κατερίνα Γεωργίου,Αδελφός/ή,6970000011
12,12,Γιώργος Νικολάου,Σύζυγος,6970000012
13,13,Μαρία Ιωάννου,Γονέας,6970000013
14,14,Νίκος Δημητρίου,Τέκνο,6970000014
15,15,Ελένη Κωνσταντίνου,Αδελφός/ή,6970000015
16,16,Κώστας Αθανασίου,Σύζυγος,6970000016
17,17,Άννα Παναγιώτου,Γονέας,6970000017
18,18,Πέτρος Αλεξίου,Τέκνο,6970000018
19,19,Σοφία Μαρίνου,Αδελφός/ή,6970000019
20,20,Δημήτρης Παπαδόπουλος,Σύζυγος,6970000020
21,21,Ιωάννα Γεωργίου,Γονέας,6970000021
22,22,Αλέξανδρος Νικολάου,Τέκνο,6970000022
23,23,Κατερίνα Ιωάννου,Αδελφός/ή,6970000023
24,24,Γιώργος Δημητρίου,Σύζυγος,6970000024
25,25,Μαρία Κωνσταντίνου,Γονέας,6970000025
26,26,Νίκος Αθανασίου,Τέκνο,6970000026
27,27,Ελένη Παναγιώτου,Αδελφός/ή,6970000027
28,28,Κώστας Αλεξίου,Σύζυγος,6970000028
29,29,Άννα Μαρίνου,Γονέας,6970000029
30,30,Πέτρος Παπαδόπουλος,Τέκνο,6970000030
31,31,Σοφία Γεωργίου,Αδελφός/ή,6970000031
32,32,Δημήτρης Νικολάου,Σύζυγος,6970000032
33,33,Ιωάννα Ιωάννου,Γονέας,6970000033
34,34,Αλέξανδρος Δημητρίου,Τέκνο,6970000034
35,35,Κατερίνα Κωνσταντίνου,Αδελφός/ή,6970000035
36,36,Γιώργος Αθανασίου,Σύζυγος,6970000036
37,37,Μαρία Παναγιώτου,Γονέας,6970000037
38,38,Νίκος Αλεξίου,Τέκνο,6970000038
39,39,Ελένη Μαρίνου,Αδελφός/ή,6970000039
40,40,Κώστας Παπαδόπουλος,Σύζυγος,6970000040
41,41,Άννα Γεωργίου,Γονέας,6970000041
42,42,Πέτρος Νικολάου,Τέκνο,6970000042
43,43,Σοφία Ιωάννου,Αδελφός/ή,6970000043
44,44,Δημήτρης Δημητρίου,Σύζυγος,6970000044
45,45,Ιωάννα Κωνσταντίνου,Γονέας,6970000045
46,46,Αλέξανδρος Αθανασίου,Τέκνο,6970000046
47,47,Κατερίνα Παναγιώτου,Αδελφός/ή,6970000047
48,48,Γιώργος Αλεξίου,Σύζυγος,6970000048
49,49,Μαρία Μαρίνου,Γονέας,6970000049
50,50,Νίκος Παπαδόπουλος,Τέκνο,6970000050
51,51,Ελένη Γεωργίου,Αδελφός/ή,6970000051
52,52,Κώστας Νικολάου,Σύζυγος,6970000052
53,53,Άννα Ιωάννου,Γονέας,6970000053
54,54,Πέτρος Δημητρίου,Τέκνο,6970000054
55,55,Σοφία Κωνσταντίνου,Αδελφός/ή,6970000055
56,56,Δημήτρης Αθανασίου,Σύζυγος,6970000056
57,57,Ιωάννα Παναγιώτου,Γονέας,6970000057
58,58,Αλέξανδρος Αλεξίου,Τέκνο,6970000058
59,59,Κατερίνα Μαρίνου,Αδελφός/ή,6970000059
60,60,Γιώργος Παπαδόπουλος,Σύζυγος,6970000060
61,61,Μαρία Γεωργίου,Γονέας,6970000061
62,62,Νίκος Νικολάου,Τέκνο,6970000062
63,63,Ελένη Ιωάννου,Αδελφός/ή,6970000063
64,64,Κώστας Δημητρίου,Σύζυγος,6970000064
65,65,Άννα Κωνσταντίνου,Γονέας,6970000065
66,66,Πέτρος Αθανασίου,Τέκνο,6970000066
67,67,Σοφία Παναγιώτου,Αδελφός/ή,6970000067
68,68,Δημήτρης Αλεξίου,Σύζυγος,6970000068
69,69,Ιωάννα Μαρίνου,Γονέας,6970000069
70,70,Αλέξανδρος Παπαδόπουλος,Τέκνο,6970000070
71,71,Κατερίνα Γεωργίου,Αδελφός/ή,6970000071
72,72,Γιώργος Νικολάου,Σύζυγος,6970000072
73,73,Μαρία Ιωάννου,Γονέας,6970000073
74,74,Νίκος Δημητρίου,Τέκνο,6970000074
75,75,Ελένη Κωνσταντίνου,Αδελφός/ή,6970000075
76,76,Κώστας Αθανασίου,Σύζυγος,6970000076
77,77,Άννα Παναγιώτου,Γονέας,6970000077
78,78,Πέτρος Αλεξίου,Τέκνο,6970000078
79,79,Σοφία Μαρίνου,Αδελφός/ή,6970000079
80,80,Δημήτρης Παπαδόπουλος,Σύζυγος,6970000080
81,81,Ιωάννα Γεωργίου,Γονέας,6970000081
82,82,Αλέξανδρος Νικολάου,Τέκνο,6970000082
83,83,Κατερίνα Ιωάννου,Αδελφός/ή,6970000083
84,84,Γιώργος Δημητρίου,Σύζυγος,6970000084
85,85,Μαρία Κωνσταντίνου,Γονέας,6970000085
86,86,Νίκος Αθανασίου,Τέκνο,6970000086
87,87,Ελένη Παναγιώτου,Αδελφός/ή,6970000087
88,88,Κώστας Αλεξίου,Σύζυγος,6970000088
89,89,Άννα Μαρίνου,Γονέας,6970000089
90,90,Πέτρος Παπαδόπουλος,Τέκνο,6970000090
91,91,Σοφία Γεωργίου,Αδελφός/ή,6970000091
92,92,Δημήτρης Νικολάου,Σύζυγος,6970000092
93,93,Ιωάννα Ιωάννου,Γονέας,6970000093
94,94,Αλέξανδρος Δημητρίου,Τέκνο,6970000094
95,95,Κατερίνα Κωνσταντίνου,Αδελφός/ή,6970000095
96,96,Γιώργος Αθανασίου,Σύζυγος,6970000096
97,97,Μαρία Παναγιώτου,Γονέας,6970000097
98,98,Νίκος Αλεξίου,Τέκνο,6970000098
99,99,Ελένη Μαρίνου,Αδελφός/ή,6970000099
100,100,Κώστας Παπαδόπουλος,Σύζυγος,6970000100
101,101,Άννα Γεωργίου,Γονέας,6970000101
102,102,Πέτρος Νικολάου,Τέκνο,6970000102
103,103,Σοφία Ιωάννου,Αδελφός/ή,6970000103
104,104,Δημήτρης Δημητρίου,Σύζυγος,6970000104
105,105,Ιωάννα Κωνσταντίνου,Γονέας,6970000105
106,106,Αλέξανδρος Αθανασίου,Τέκνο,6970000106
107,107,Κατερίνα Παναγιώτου,Αδελφός/ή,6970000107
108,108,Γιώργος Αλεξίου,Σύζυγος,6970000108
109,109,Μαρία Μαρίνου,Γονέας,6970000109
110,110,Νίκος Παπαδόπουλος,Τέκνο,6970000110
111,111,Ελένη Γεωργίου,Αδελφός/ή,6970000111
112,112,Κώστας Νικολάου,Σύζυγος,6970000112
113,113,Άννα Ιωάννου,Γονέας,6970000113
114,114,Πέτρος Δημητρίου,Τέκνο,6970000114
115,115,Σοφία Κωνσταντίνου,Αδελφός/ή,6970000115
116,116,Δημήτρης Αθανασίου,Σύζυγος,6970000116
117,117,Ιωάννα Παναγιώτου,Γονέας,6970000117
118,118,Αλέξανδρος Αλεξίου,Τέκνο,6970000118
119,119,Κατερίνα Μαρίνου,Αδελφός/ή,6970000119
120,120,Γιώργος Παπαδόπουλος,Σύζυγος,6970000120
121,121,Μαρία Γεωργίου,Γονέας,6970000121
122,122,Νίκος Νικολάου,Τέκνο,6970000122
123,123,Ελένη Ιωάννου,Αδελφός/ή,6970000123
124,124,Κώστας Δημητρίου,Σύζυγος,6970000124
125,125,Άννα Κωνσταντίνου,Γονέας,6970000125
126,126,Πέτρος Αθανασίου,Τέκνο,6970000126
127,127,Σοφία Παναγιώτου,Αδελφός/ή,6970000127
128,128,Δημήτρης Αλεξίου,Σύζυγος,6970000128
129,129,Ιωάννα Μαρίνου,Γονέας,6970000129
130,130,Αλέξανδρος Παπαδόπουλος,Τέκνο,6970000130
131,131,Κατερίνα Γεωργίου,Αδελφός/ή,6970000131
132,132,Γιώργος Νικολάου,Σύζυγος,6970000132
133,133,Μαρία Ιωάννου,Γονέας,6970000133
