staff_id	first_name	last_name	staff_type	subclass
286	Αλέξανδρος	Αθανασίου	ADMIN	Υποδοχή
296	Δημήτρης	Αθανασίου	ADMIN	Γραμματέας
316	Κώστας	Αθανασίου	ADMIN	Γραμματέας
326	Νίκος	Αθανασίου	ADMIN	Υποδοχή
298	Αλέξανδρος	Αλεξίου	ADMIN	Υποδοχή
288	Γιώργος	Αλεξίου	ADMIN	Γραμματέας
308	Δημήτρης	Αλεξίου	ADMIN	Γραμματέας
328	Κώστας	Αλεξίου	ADMIN	Γραμματέας
278	Νίκος	Αλεξίου	ADMIN	Υποδοχή
318	Πέτρος	Αλεξίου	ADMIN	Υποδοχή
281	Άννα	Γεωργίου	ADMIN	Λογιστής
291	Ελένη	Γεωργίου	ADMIN	Διοικητικός Υπεύθυνος
321	Ιωάννα	Γεωργίου	ADMIN	Λογιστής
311	Κατερίνα	Γεωργίου	ADMIN	Διοικητικός Υπεύθυνος
301	Μαρία	Γεωργίου	ADMIN	Λογιστής
331	Σοφία	Γεωργίου	ADMIN	Διοικητικός Υπεύθυνος
334	Αλέξανδρος	Δημητρίου	ADMIN	Υποδοχή
324	Γιώργος	Δημητρίου	ADMIN	Γραμματέας
284	Δημήτρης	Δημητρίου	ADMIN	Γραμματέας
304	Κώστας	Δημητρίου	ADMIN	Γραμματέας
314	Νίκος	Δημητρίου	ADMIN	Υποδοχή
294	Πέτρος	Δημητρίου	ADMIN	Υποδοχή
293	Άννα	Ιωάννου	ADMIN	Λογιστής
303	Ελένη	Ιωάννου	ADMIN	Διοικητικός Υπεύθυνος
333	Ιωάννα	Ιωάννου	ADMIN	Λογιστής
323	Κατερίνα	Ιωάννου	ADMIN	Διοικητικός Υπεύθυνος
313	Μαρία	Ιωάννου	ADMIN	Λογιστής
283	Σοφία	Ιωάννου	ADMIN	Διοικητικός Υπεύθυνος
305	Άννα	Κωνσταντίνου	ADMIN	Λογιστής
315	Ελένη	Κωνσταντίνου	ADMIN	Διοικητικός Υπεύθυνος
285	Ιωάννα	Κωνσταντίνου	ADMIN	Λογιστής
335	Κατερίνα	Κωνσταντίνου	ADMIN	Διοικητικός Υπεύθυνος
325	Μαρία	Κωνσταντίνου	ADMIN	Λογιστής
295	Σοφία	Κωνσταντίνου	ADMIN	Διοικητικός Υπεύθυνος
329	Άννα	Μαρίνου	ADMIN	Λογιστής
279	Ελένη	Μαρίνου	ADMIN	Διοικητικός Υπεύθυνος
309	Ιωάννα	Μαρίνου	ADMIN	Λογιστής
299	Κατερίνα	Μαρίνου	ADMIN	Διοικητικός Υπεύθυνος
289	Μαρία	Μαρίνου	ADMIN	Λογιστής
319	Σοφία	Μαρίνου	ADMIN	Διοικητικός Υπεύθυνος
322	Αλέξανδρος	Νικολάου	ADMIN	Υποδοχή
312	Γιώργος	Νικολάου	ADMIN	Γραμματέας
332	Δημήτρης	Νικολάου	ADMIN	Γραμματέας
292	Κώστας	Νικολάου	ADMIN	Γραμματέας
302	Νίκος	Νικολάου	ADMIN	Υποδοχή
282	Πέτρος	Νικολάου	ADMIN	Υποδοχή
317	Άννα	Παναγιώτου	ADMIN	Λογιστής
327	Ελένη	Παναγιώτου	ADMIN	Διοικητικός Υπεύθυνος
