total_days	patient_id	amka	first_name	last_name
27	91	90000000091	Αλέξανδρος	Αθανασίου
27	11	90000000011	Νίκος	Αθανασίου
27	71	90000000071	Νίκος	Αθανασίου
27	51	90000000051	Πέτρος	Αθανασίου
27	43	90000000043	Αλέξανδρος	Αλεξίου
27	83	90000000083	Νίκος	Αλεξίου
27	63	90000000063	Πέτρος	Αλεξίου
27	19	90000000019	Αλέξανδρος	Δημητρίου
27	79	90000000079	Αλέξανδρος	Δημητρίου
27	59	90000000059	Νίκος	Δημητρίου
27	99	90000000099	Πέτρος	Δημητρίου
27	67	90000000067	Αλέξανδρος	Νικολάου
27	47	90000000047	Νίκος	Νικολάου
27	87	90000000087	Πέτρος	Νικολάου
27	55	90000000055	Αλέξανδρος	Παπαδόπουλος
27	95	90000000095	Νίκος	Παπαδόπουλος
27	75	90000000075	Πέτρος	Παπαδόπουλος
27	15	90000000015	Πέτρος	Παπαδόπουλος
22	131	90000000131	Νίκος	Αθανασίου
22	191	90000000191	Νίκος	Αθανασίου
22	143	90000000143	Νίκος	Αλεξίου
22	3	90000000003	Πέτρος	Αλεξίου
22	119	90000000119	Νίκος	Δημητρίου
22	179	90000000179	Νίκος	Δημητρίου
22	39	90000000039	Πέτρος	Δημητρίου
22	107	90000000107	Νίκος	Νικολάου
22	167	90000000167	Νίκος	Νικολάου
22	27	90000000027	Πέτρος	Νικολάου
22	155	90000000155	Νίκος	Παπαδόπουλος
21	81	90000000081	Γιώργος	Αθανασίου
21	41	90000000041	Δημήτρης	Αθανασίου
21	61	90000000061	Κώστας	Αθανασίου
21	93	90000000093	Γιώργος	Αλεξίου
21	53	90000000053	Δημήτρης	Αλεξίου
21	13	90000000013	Κώστας	Αλεξίου
21	73	90000000073	Κώστας	Αλεξίου
21	69	90000000069	Γιώργος	Δημητρίου
21	89	90000000089	Δημήτρης	Δημητρίου
21	49	90000000049	Κώστας	Δημητρίου
21	57	90000000057	Γιώργος	Νικολάου
21	17	90000000017	Δημήτρης	Νικολάου
21	77	90000000077	Δημήτρης	Νικολάου
21	97	90000000097	Κώστας	Νικολάου
21	45	90000000045	Γιώργος	Παπαδόπουλος
21	65	90000000065	Δημήτρης	Παπαδόπουλος
21	85	90000000085	Κώστας	Παπαδόπουλος
18	31	90000000031	Αλέξανδρος	Αθανασίου
18	141	90000000141	Γιώργος	Αθανασίου
18	1	90000000001	Κώστας	Αθανασίου
18	111	90000000111	Πέτρος	Αθανασίου
18	171	90000000171	Πέτρος	Αθανασίου
18	153	90000000153	Γιώργος	Αλεξίου
18	123	90000000123	Πέτρος	Αλεξίου
18	183	90000000183	Πέτρος	Αλεξίου
18	189	90000000189	Γιώργος	Δημητρίου
18	129	90000000129	Γιώργος	Δημητρίου
18	159	90000000159	Πέτρος	Δημητρίου
18	7	90000000007	Αλέξανδρος	Νικολάου
18	117	90000000117	Γιώργος	Νικολάου
18	177	90000000177	Γιώργος	Νικολάου
18	37	90000000037	Κώστας	Νικολάου
18	147	90000000147	Πέτρος	Νικολάου
18	165	90000000165	Γιώργος	Παπαδόπουλος
18	105	90000000105	Γιώργος	Παπαδόπουλος
18	25	90000000025	Κώστας	Παπαδόπουλος
18	135	90000000135	Πέτρος	Παπαδόπουλος
18	195	90000000195	Πέτρος	Παπαδόπουλος
