doctor_id	first_name	last_name	procedure_count	top_doctor_procedure_count
46	Αλέξανδρος	Αθανασίου	0	8
36	Γιώργος	Αθανασίου	0	8
56	Δημήτρης	Αθανασίου	0	8
76	Κώστας	Αθανασίου	0	8
86	Νίκος	Αθανασίου	0	8
6	Πέτρος	Αθανασίου	0	8
66	Πέτρος	Αθανασίου	0	8
58	Αλέξανδρος	Αλεξίου	0	8
48	Γιώργος	Αλεξίου	0	8
68	Δημήτρης	Αλεξίου	0	8
8	Δημήτρης	Αλεξίου	0	8
88	Κώστας	Αλεξίου	0	8
38	Νίκος	Αλεξίου	0	8
78	Πέτρος	Αλεξίου	0	8
41	Άννα	Γεωργίου	0	8
51	Ελένη	Γεωργίου	0	8
81	Ιωάννα	Γεωργίου	0	8
11	Κατερίνα	Γεωργίου	0	8
71	Κατερίνα	Γεωργίου	0	8
1	Μαρία	Γεωργίου	0	8
61	Μαρία	Γεωργίου	0	8
91	Σοφία	Γεωργίου	0	8
94	Αλέξανδρος	Δημητρίου	0	8
84	Γιώργος	Δημητρίου	0	8
44	Δημήτρης	Δημητρίου	0	8
4	Κώστας	Δημητρίου	0	8
64	Κώστας	Δημητρίου	0	8
74	Νίκος	Δημητρίου	0	8
14	Νίκος	Δημητρίου	0	8
54	Πέτρος	Δημητρίου	0	8
53	Άννα	Ιωάννου	0	8
63	Ελένη	Ιωάννου	0	8
3	Ελένη	Ιωάννου	0	8
93	Ιωάννα	Ιωάννου	0	8
83	Κατερίνα	Ιωάννου	0	8
13	Μαρία	Ιωάννου	0	8
73	Μαρία	Ιωάννου	0	8
43	Σοφία	Ιωάννου	0	8
65	Άννα	Κωνσταντίνου	0	8
5	Άννα	Κωνσταντίνου	0	8
75	Ελένη	Κωνσταντίνου	0	8
15	Ελένη	Κωνσταντίνου	0	8
45	Ιωάννα	Κωνσταντίνου	0	8
95	Κατερίνα	Κωνσταντίνου	0	8
85	Μαρία	Κωνσταντίνου	0	8
55	Σοφία	Κωνσταντίνου	0	8
89	Άννα	Μαρίνου	0	8
39	Ελένη	Μαρίνου	0	8
69	Ιωάννα	Μαρίνου	0	8
9	Ιωάννα	Μαρίνου	0	8
59	Κατερίνα	Μαρίνου	0	8
49	Μαρία	Μαρίνου	0	8
79	Σοφία	Μαρίνου	0	8
82	Αλέξανδρος	Νικολάου	0	8
72	Γιώργος	Νικολάου	0	8
12	Γιώργος	Νικολάου	0	8
92	Δημήτρης	Νικολάου	0	8
52	Κώστας	Νικολάου	0	8
62	Νίκος	Νικολάου	0	8
2	Νίκος	Νικολάου	0	8
42	Πέτρος	Νικολάου	0	8
77	Άννα	Παναγιώτου	0	8
87	Ελένη	Παναγιώτου	0	8
57	Ιωάννα	Παναγιώτου	0	8
47	Κατερίνα	Παναγιώτου	0	8
37	Μαρία	Παναγιώτου	0	8
67	Σοφία	Παναγιώτου	0	8
7	Σοφία	Παναγιώτου	0	8
70	Αλέξανδρος	Παπαδόπουλος	0	8
10	Αλέξανδρος	Παπαδόπουλος	0	8
60	Γιώργος	Παπαδόπουλος	0	8
80	Δημήτρης	Παπαδόπουλος	0	8
40	Κώστας	Παπαδόπουλος	0	8
50	Νίκος	Παπαδόπουλος	0	8
90	Πέτρος	Παπαδόπουλος	0	8
