doctor_id	doctor_first_name	doctor_last_name	hierarchy_level	supervisor_id	supervisor_first_name	supervisor_last_name	supervisor_rank
16	Κώστας	Αθανασίου	1	1	Μαρία	Γεωργίου	Διευθυντής
17	Άννα	Παναγιώτου	1	2	Νίκος	Νικολάου	Διευθυντής
18	Πέτρος	Αλεξίου	1	3	Ελένη	Ιωάννου	Διευθυντής
19	Σοφία	Μαρίνου	1	4	Κώστας	Δημητρίου	Διευθυντής
20	Δημήτρης	Παπαδόπουλος	1	5	Άννα	Κωνσταντίνου	Διευθυντής
21	Ιωάννα	Γεωργίου	1	6	Πέτρος	Αθανασίου	Διευθυντής
22	Αλέξανδρος	Νικολάου	1	7	Σοφία	Παναγιώτου	Διευθυντής
23	Κατερίνα	Ιωάννου	1	8	Δημήτρης	Αλεξίου	Διευθυντής
24	Γιώργος	Δημητρίου	1	9	Ιωάννα	Μαρίνου	Διευθυντής
25	Μαρία	Κωνσταντίνου	1	10	Αλέξανδρος	Παπαδόπουλος	Διευθυντής
26	Νίκος	Αθανασίου	1	11	Κατερίνα	Γεωργίου	Διευθυντής
27	Ελένη	Παναγιώτου	1	12	Γιώργος	Νικολάου	Διευθυντής
28	Κώστας	Αλεξίου	1	13	Μαρία	Ιωάννου	Διευθυντής
29	Άννα	Μαρίνου	1	14	Νίκος	Δημητρίου	Διευθυντής
30	Πέτρος	Παπαδόπουλος	1	15	Ελένη	Κωνσταντίνου	Διευθυντής
31	Σοφία	Γεωργίου	1	1	Μαρία	Γεωργίου	Διευθυντής
32	Δημήτρης	Νικολάου	1	2	Νίκος	Νικολάου	Διευθυντής
33	Ιωάννα	Ιωάννου	1	3	Ελένη	Ιωάννου	Διευθυντής
34	Αλέξανδρος	Δημητρίου	1	4	Κώστας	Δημητρίου	Διευθυντής
35	Κατερίνα	Κωνσταντίνου	1	5	Άννα	Κωνσταντίνου	Διευθυντής
36	Γιώργος	Αθανασίου	1	6	Πέτρος	Αθανασίου	Διευθυντής
37	Μαρία	Παναγιώτου	1	7	Σοφία	Παναγιώτου	Διευθυντής
38	Νίκος	Αλεξίου	1	8	Δημήτρης	Αλεξίου	Διευθυντής
39	Ελένη	Μαρίνου	1	9	Ιωάννα	Μαρίνου	Διευθυντής
40	Κώστας	Παπαδόπουλος	1	10	Αλέξανδρος	Παπαδόπουλος	Διευθυντής
41	Άννα	Γεωργίου	1	11	Κατερίνα	Γεωργίου	Διευθυντής
42	Πέτρος	Νικολάου	1	12	Γιώργος	Νικολάου	Διευθυντής
43	Σοφία	Ιωάννου	1	13	Μαρία	Ιωάννου	Διευθυντής
44	Δημήτρης	Δημητρίου	1	14	Νίκος	Δημητρίου	Διευθυντής
45	Ιωάννα	Κωνσταντίνου	1	15	Ελένη	Κωνσταντίνου	Διευθυντής
46	Αλέξανδρος	Αθανασίου	1	1	Μαρία	Γεωργίου	Διευθυντής
47	Κατερίνα	Παναγιώτου	1	2	Νίκος	Νικολάου	Διευθυντής
48	Γιώργος	Αλεξίου	1	3	Ελένη	Ιωάννου	Διευθυντής
49	Μαρία	Μαρίνου	1	4	Κώστας	Δημητρίου	Διευθυντής
50	Νίκος	Παπαδόπουλος	1	5	Άννα	Κωνσταντίνου	Διευθυντής
51	Ελένη	Γεωργίου	1	16	Κώστας	Αθανασίου	Επιμελητής Α
51	Ελένη	Γεωργίου	2	1	Μαρία	Γεωργίου	Διευθυντής
52	Κώστας	Νικολάου	1	17	Άννα	Παναγιώτου	Επιμελητής Α
52	Κώστας	Νικολάου	2	2	Νίκος	Νικολάου	Διευθυντής
53	Άννα	Ιωάννου	1	18	Πέτρος	Αλεξίου	Επιμελητής Α
53	Άννα	Ιωάννου	2	3	Ελένη	Ιωάννου	Διευθυντής
54	Πέτρος	Δημητρίου	1	19	Σοφία	Μαρίνου	Επιμελητής Α
54	Πέτρος	Δημητρίου	2	4	Κώστας	Δημητρίου	Διευθυντής
55	Σοφία	Κωνσταντίνου	1	20	Δημήτρης	Παπαδόπουλος	Επιμελητής Α
55	Σοφία	Κωνσταντίνου	2	5	Άννα	Κωνσταντίνου	Διευθυντής
56	Δημήτρης	Αθανασίου	1	21	Ιωάννα	Γεωργίου	Επιμελητής Α
56	Δημήτρης	Αθανασίου	2	6	Πέτρος	Αθανασίου	Διευθυντής
57	Ιωάννα	Παναγιώτου	1	22	Αλέξανδρος	Νικολάου	Επιμελητής Α
57	Ιωάννα	Παναγιώτου	2	7	Σοφία	Παναγιώτου	Διευθυντής
58	Αλέξανδρος	Αλεξίου	1	23	Κατερίνα	Ιωάννου	Επιμελητής Α
58	Αλέξανδρος	Αλεξίου	2	8	Δημήτρης	Αλεξίου	Διευθυντής
59	Κατερίνα	Μαρίνου	1	24	Γιώργος	Δημητρίου	Επιμελητής Α
59	Κατερίνα	Μαρίνου	2	9	Ιωάννα	Μαρίνου	Διευθυντής
60	Γιώργος	Παπαδόπουλος	1	25	Μαρία	Κωνσταντίνου	Επιμελητής Α
60	Γιώργος	Παπαδόπουλος	2	10	Αλέξανδρος	Παπαδόπουλος	Διευθυντής
61	Μαρία	Γεωργίου	1	26	Νίκος	Αθανασίου	Επιμελητής Α
61	Μαρία	Γεωργίου	2	11	Κατερίνα	Γεωργίου	Διευθυντής
62	Νίκος	Νικολάου	1	27	Ελένη	Παναγιώτου	Επιμελητής Α
62	Νίκος	Νικολάου	2	12	Γιώργος	Νικολάου	Διευθυντής
63	Ελένη	Ιωάννου	1	28	Κώστας	Αλεξίου	Επιμελητής Α
63	Ελένη	Ιωάννου	2	13	Μαρία	Ιωάννου	Διευθυντής
64	Κώστας	Δημητρίου	1	29	Άννα	Μαρίνου	Επιμελητής Α
64	Κώστας	Δημητρίου	2	14	Νίκος	Δημητρίου	Διευθυντής
65	Άννα	Κωνσταντίνου	1	30	Πέτρος	Παπαδόπουλος	Επιμελητής Α
65	Άννα	Κωνσταντίνου	2	15	Ελένη	Κωνσταντίνου	Διευθυντής
66	Πέτρος	Αθανασίου	1	31	Σοφία	Γεωργίου	Επιμελητής Α
66	Πέτρος	Αθανασίου	2	1	Μαρία	Γεωργίου	Διευθυντής
67	Σοφία	Παναγιώτου	1	32	Δημήτρης	Νικολάου	Επιμελητής Α
67	Σοφία	Παναγιώτου	2	2	Νίκος	Νικολάου	Διευθυντής
68	Δημήτρης	Αλεξίου	1	33	Ιωάννα	Ιωάννου	Επιμελητής Α
68	Δημήτρης	Αλεξίου	2	3	Ελένη	Ιωάννου	Διευθυντής
69	Ιωάννα	Μαρίνου	1	34	Αλέξανδρος	Δημητρίου	Επιμελητής Α
69	Ιωάννα	Μαρίνου	2	4	Κώστας	Δημητρίου	Διευθυντής
70	Αλέξανδρος	Παπαδόπουλος	1	35	Κατερίνα	Κωνσταντίνου	Επιμελητής Α
70	Αλέξανδρος	Παπαδόπουλος	2	5	Άννα	Κωνσταντίνου	Διευθυντής
71	Κατερίνα	Γεωργίου	1	36	Γιώργος	Αθανασίου	Επιμελητής Α
71	Κατερίνα	Γεωργίου	2	6	Πέτρος	Αθανασίου	Διευθυντής
72	Γιώργος	Νικολάου	1	37	Μαρία	Παναγιώτου	Επιμελητής Α
72	Γιώργος	Νικολάου	2	7	Σοφία	Παναγιώτου	Διευθυντής
73	Μαρία	Ιωάννου	1	38	Νίκος	Αλεξίου	Επιμελητής Α
73	Μαρία	Ιωάννου	2	8	Δημήτρης	Αλεξίου	Διευθυντής
74	Νίκος	Δημητρίου	1	39	Ελένη	Μαρίνου	Επιμελητής Α
74	Νίκος	Δημητρίου	2	9	Ιωάννα	Μαρίνου	Διευθυντής
75	Ελένη	Κωνσταντίνου	1	40	Κώστας	Παπαδόπουλος	Επιμελητής Α
75	Ελένη	Κωνσταντίνου	2	10	Αλέξανδρος	Παπαδόπουλος	Διευθυντής
76	Κώστας	Αθανασίου	1	16	Κώστας	Αθανασίου	Επιμελητής Α
76	Κώστας	Αθανασίου	2	1	Μαρία	Γεωργίου	Διευθυντής
77	Άννα	Παναγιώτου	1	17	Άννα	Παναγιώτου	Επιμελητής Α
77	Άννα	Παναγιώτου	2	2	Νίκος	Νικολάου	Διευθυντής
78	Πέτρος	Αλεξίου	1	18	Πέτρος	Αλεξίου	Επιμελητής Α
78	Πέτρος	Αλεξίου	2	3	Ελένη	Ιωάννου	Διευθυντής
79	Σοφία	Μαρίνου	1	19	Σοφία	Μαρίνου	Επιμελητής Α
79	Σοφία	Μαρίνου	2	4	Κώστας	Δημητρίου	Διευθυντής
80	Δημήτρης	Παπαδόπουλος	1	20	Δημήτρης	Παπαδόπουλος	Επιμελητής Α
80	Δημήτρης	Παπαδόπουλος	2	5	Άννα	Κωνσταντίνου	Διευθυντής
